,date,radiance
0,2023-01-01,35.65579969669969
1,2023-01-04,96.96727579342057
2,2023-01-09,128.79824050909025
3,2023-01-10,98.44784803775396
4,2023-01-17,71.94320034731308
5,2023-01-27,155.98308442918355
6,2023-01-31,212.5776575285223
7,2023-02-01,207.02503154167323
8,2023-02-02,182.48494950253158
9,2023-02-03,136.25272141301224
10,2023-02-04,179.10422706318903
11,2023-02-05,124.36613869488863
12,2023-02-06,169.98534300651613
13,2023-02-07,118.17009117331688
14,2023-02-10,117.83537980152354
15,2023-02-11,138.2870112933742
16,2023-02-12,130.57934267959254
17,2023-02-15,62.57542513518056
18,2023-02-17,89.67187292301425
19,2023-02-18,71.87412878786324
20,2023-02-20,95.54369002429182
21,2023-02-23,89.6086250627344
22,2023-02-24,104.19849436347552
23,2023-02-25,8.62445766687037
24,2023-02-26,122.82213159170566
25,2023-02-28,8.164366788467076
26,2023-03-01,96.95063730419484
27,2023-03-02,101.81045106894463
28,2023-03-04,139.27870830113937
29,2023-03-05,91.85673818887618
30,2023-03-09,100.94883877422068
31,2023-03-10,87.92337448569991
32,2023-03-11,85.23797740327554
33,2023-03-12,101.60367417727532
34,2023-03-13,98.22114824928694
35,2023-03-14,106.13290503776449
36,2023-03-15,126.41838816427513
37,2023-03-17,1.9831992418063957
38,2023-03-19,154.8805774712242
39,2023-03-20,115.56012214495287
40,2023-03-21,120.76468027655174
41,2023-03-22,2.3222724322201524
42,2023-03-23,135.60670911956947
43,2023-03-25,2.043689920113781
44,2023-03-26,117.4529836452239
45,2023-03-27,60.72245416668562
46,2023-03-28,143.26463190999624
47,2023-03-29,130.84616218927334
48,2023-03-30,147.2178214383945
49,2023-03-31,144.22544390548768
50,2023-04-01,113.57753965779807
51,2023-04-02,157.9268042175225
52,2023-04-03,109.93455859256967
53,2023-04-04,100.78523210488451
54,2023-04-07,118.27224111628281
55,2023-04-08,108.27198206398346
56,2023-04-09,109.39151208532586
57,2023-04-10,172.76918387591218
58,2023-04-11,107.74788164985557
59,2023-04-12,96.433797209074
60,2023-04-13,119.04850569612422
61,2023-04-14,98.27110669573685
62,2023-04-15,140.23847999344667
63,2023-04-18,139.118798886714
64,2023-04-22,144.9400029510304
65,2023-04-24,101.35662217418174
66,2023-04-26,160.27098147787143
67,2023-04-27,100.25080902943519
68,2023-04-28,113.31226569832884
69,2023-04-30,86.40512336993253
70,2023-05-01,147.97018745946957
71,2023-05-02,179.69218308686854
72,2023-05-03,137.68904063306047
73,2023-05-04,149.25350000612406
74,2023-05-05,110.60604633736148
75,2023-05-06,113.48925033706185
76,2023-05-13,76.4278640661539
77,2023-05-14,59.06471753227338
78,2023-05-17,80.17196212221154
79,2023-05-18,70.6443792237651
80,2023-05-19,95.59546084325589
81,2023-05-20,93.83504000266038
82,2023-05-21,99.0877046257213
83,2023-05-22,139.4296236166505
84,2023-05-23,146.3343305602024
85,2023-05-24,144.3644366471044
86,2023-05-25,138.23739371394478
87,2023-05-26,106.7986337906933
88,2023-05-27,91.32952959263095
89,2023-05-29,136.1974069144198
90,2023-05-30,107.1001566541409
91,2023-06-02,97.47192950591358
92,2023-06-03,126.62837881670741
93,2023-06-04,126.62837881670741
94,2023-06-05,85.1199539464391
95,2023-06-06,80.87520896032187
96,2023-06-08,131.68487573526582
97,2023-06-09,126.62837881670741
98,2023-06-10,144.93271263773573
99,2023-06-15,92.0870308376358
100,2023-06-16,65.19767025702015
101,2023-06-17,131.82738845362638
102,2023-06-18,61.22080785953768
103,2023-06-20,117.46019843095796
104,2023-06-21,113.08973041551556
105,2023-06-22,142.8246078584009
106,2023-06-23,151.6105371520905
107,2023-06-24,94.47105923384252
